"","trial_number","heading","response","response_num","FirstSteeringTime"
"1",1,"0.5","steer","2",0.434201
"2",2,"2","steer","2",0.316759999999999
"3",3,"1.5","steer","2",0.250119999999995
"4",4,"2","steer","2",0.333350000000003
"5",5,"0","nosteer","1",2.5
"6",6,"1","steer","2",0.46678
"7",7,"0.5","steer","2",0.550030000000007
"8",8,"0.5","nosteer","1",2.5
"9",9,"1.5","steer","2",0.416669999999996
"10",10,"0.5","steer","2",0.433459999999997
"11",11,"0.5","nosteer","1",2.5
"12",12,"0","nosteer","1",2.5
"13",13,"1","steer","2",0.483430000000002
"14",14,"1.5","steer","2",0.383399999999995
"15",15,"1","steer","2",0.450100000000006
"16",16,"0","nosteer","1",2.5
"17",17,"0.5","steer","2",0.399900000000002
"18",18,"0.5","nosteer","1",2.5
"19",19,"2","steer","2",0.416600000000003
"20",20,"1","nosteer","1",2.5
"21",21,"1.5","steer","2",0.333400000000012
"22",22,"0","steer","2",0.25
"23",23,"2","steer","2",0.38330000000002
"24",24,"1.5","steer","2",0.283379999999998
"25",25,"0.5","steer","2",0.583300000000008
"26",26,"0.5","nosteer","1",2.5
"27",27,"2","steer","2",0.383299999999991
"28",28,"1","steer","2",0.416599999999988
"29",30,"2","steer","2",0.233499999999992
"30",31,"1","steer","2",0.283300000000025
"31",32,"1","steer","2",0.400200000000012
"32",33,"2","steer","2",0.30019999999999
"33",34,"0","nosteer","1",2.5
"34",35,"0.5","steer","2",0.400000000000002
"35",36,"0.5","steer","2",0.416799999999995
"36",37,"2","steer","2",0.416599999999988
"37",39,"1","steer","2",0.450199999999995
"38",40,"0","nosteer","1",2.5
"39",41,"2","steer","2",0.333400000000012
"40",43,"1","steer","2",0.200199999999995
"41",44,"1.5","steer","2",0.300000000000011
"42",45,"1","steer","2",0.183300000000003
"43",46,"2","steer","2",0.449960000000004
"44",48,"0","nosteer","1",2.5
"45",49,"1","steer","2",0.150199999999984
"46",52,"1.5","steer","2",0.383199999999988
"47",53,"1","nosteer","1",2.5
"48",54,"1.5","steer","2",0.399999999999977
"49",55,"0","nosteer","1",2.5
"50",56,"1.5","steer","2",0.416799999999967
"51",57,"1","steer","2",0.500019999999999
"52",58,"2","steer","2",0.216599999999971
"53",59,"0.5","steer","2",0.416699999999992
"54",60,"1.5","steer","2",0.399900000000002
"55",61,"2","steer","2",0.36669999999998
"56",62,"1.5","steer","2",0.466600000000028
"57",63,"1.5","steer","2",0.400000000000034
"58",64,"0.5","steer","2",0.283400000000029
"59",65,"1.5","steer","2",0.350099999999998
"60",66,"1","steer","2",0.416799999999967
"61",67,"1","nosteer","1",2.5
"62",68,"1.5","steer","2",0.30001
"63",69,"1","steer","2",0.399999999999977
"64",70,"0.5","steer","2",0.233299999999986
"65",71,"1","steer","2",0.399900000000002
"66",72,"2","steer","2",0.333300000000008
"67",74,"0.5","steer","2",0.383399999999995
"68",75,"1","steer","2",0.433500000000038
"69",76,"1.5","steer","2",0.416800000000023
"70",77,"0","steer","2",0.350000000000023
"71",78,"0.5","nosteer","1",2.5
"72",79,"2","steer","2",0.300179999999997
"73",80,"0","nosteer","1",2.5
"74",81,"2","steer","2",0.316800000000001
"75",82,"2","steer","2",0.316700000000026
"76",83,"1","steer","2",0.466799999999978
"77",84,"1.5","steer","2",0.333399999999983
"78",85,"2","steer","2",0.250100000000032
"79",86,"0.5","steer","2",0.466700000000003
"80",87,"1.5","steer","2",0.300000000000011
"81",88,"0.5","steer","2",0.449999999999989
"82",89,"1.5","steer","2",0.38330000000002
"83",90,"2","steer","2",0.333379999999998
